instant,dateday,season,year,month,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,kategori_suhu
33,2011-02-02,Spring,2011,Feb,Wednesday,Misty,10.66,0.254417,77.5417,0.264308,72,1454,1526,Dingin
34,2011-02-03,Spring,2011,Feb,Thursday,Clear,7.665237,0.177878,43.7826,0.277752,61,1489,1550,Dingin
35,2011-02-04,Spring,2011,Feb,Friday,Misty,8.663464,0.228587,58.521699999999996,0.127839,88,1620,1708,Dingin
36,2011-02-05,Spring,2011,Feb,Saturday,Misty,9.566653,0.243058,92.91669999999999,0.161079,100,905,1005,Dingin
37,2011-02-06,Spring,2011,Feb,Sunday,Clear,11.719153,0.291671,56.833299999999994,0.1418,354,1269,1623,Dingin
38,2011-02-07,Spring,2011,Feb,Monday,Clear,11.138347,0.303658,73.83330000000001,0.0454083,120,1592,1712,Dingin
39,2011-02-08,Spring,2011,Feb,Tuesday,Clear,9.054153,0.198246,53.7917,0.36195,64,1466,1530,Dingin
40,2011-02-09,Spring,2011,Feb,Wednesday,Misty,5.526102999999999,0.144283,49.4783,0.188839,53,1552,1605,Dingin
41,2011-02-10,Spring,2011,Feb,Thursday,Clear,5.918268,0.149548,43.7391,0.221935,47,1491,1538,Dingin
42,2011-02-11,Spring,2011,Feb,Friday,Clear,7.752731000000001,0.213509,50.6364,0.10855,149,1597,1746,Dingin
43,2011-02-12,Spring,2011,Feb,Saturday,Clear,9.1225,0.232954,54.4167,0.203367,288,1184,1472,Dingin
44,2011-02-13,Spring,2011,Feb,Sunday,Clear,12.977402000000001,0.324113,45.7391,0.260883,397,1192,1589,Dingin
45,2011-02-14,Spring,2011,Feb,Monday,Clear,17.015,0.39835,37.583299999999994,0.417908,208,1705,1913,Sedang
46,2011-02-15,Spring,2011,Feb,Tuesday,Clear,10.909567000000001,0.254274,31.434800000000003,0.291374,140,1675,1815,Dingin
47,2011-02-16,Spring,2011,Feb,Wednesday,Clear,13.048701000000001,0.3162,42.3478,0.251791,218,1897,2115,Panas
48,2011-02-17,Spring,2011,Feb,Thursday,Clear,17.869153,0.428658,50.5,0.230104,259,2216,2475,Sedang
49,2011-02-18,Spring,2011,Feb,Friday,Clear,21.388347,0.511983,51.6667,0.264925,579,2348,2927,Sedang
50,2011-02-19,Spring,2011,Feb,Saturday,Clear,16.365847,0.391404,18.7917,0.507463,532,1103,1635,Sedang
51,2011-02-20,Spring,2011,Feb,Sunday,Clear,11.693897,0.27733,40.7826,0.223235,639,1173,1812,Dingin
52,2011-02-21,Spring,2011,Feb,Monday,Misty,12.436653000000002,0.284075,60.5,0.307846,195,912,1107,Dingin
53,2011-02-22,Spring,2011,Feb,Tuesday,Clear,7.471102,0.186033,57.7778,0.195683,74,1376,1450,Dingin
54,2011-02-23,Spring,2011,Feb,Wednesday,Clear,9.091299,0.245717,42.3043,0.094113,139,1778,1917,Dingin
55,2011-02-24,Spring,2011,Feb,Thursday,Misty,12.121732000000002,0.289191,69.7391,0.250496,100,1707,1807,Dingin
56,2011-02-25,Spring,2011,Feb,Friday,Misty,14.938268,0.350461,71.2174,0.346539,120,1341,1461,Sedang
57,2011-02-26,Spring,2011,Feb,Saturday,Clear,11.5825,0.282192,53.7917,0.186571,424,1545,1969,Dingin
58,2011-02-27,Spring,2011,Feb,Sunday,Clear,14.082598,0.351109,68.0,0.125248,694,1708,2402,Sedang
59,2011-02-28,Spring,2011,Feb,Monday,Misty,16.698193,0.400118,87.63640000000001,0.289686,81,1365,1446,Sedang
60,2011-03-01,Spring,2011,Mar,Tuesday,Clear,10.933347,0.263879,53.5,0.216425,137,1714,1851,Dingin
61,2011-03-02,Spring,2011,Mar,Wednesday,Clear,13.735000000000001,0.320071,44.9583,0.307833,231,1903,2134,Panas
62,2011-03-03,Spring,2011,Mar,Thursday,Clear,8.131653,0.200133,31.833299999999998,0.225754,123,1562,1685,Dingin
63,2011-03-04,Spring,2011,Mar,Friday,Misty,10.728347,0.255679,61.0417,0.203346,214,1730,1944,Dingin
64,2011-03-05,Spring,2011,Mar,Saturday,Misty,15.750846999999998,0.378779,78.91669999999999,0.251871,640,1437,2077,Sedang
65,2011-03-06,Spring,2011,Mar,Sunday,Misty,15.437402,0.366252,94.8261,0.343287,114,491,605,Sedang
66,2011-03-07,Spring,2011,Mar,Monday,Clear,10.731299,0.238461,55.1304,0.341352,244,1628,1872,Dingin
67,2011-03-08,Spring,2011,Mar,Tuesday,Clear,11.9925,0.3024,42.0833,0.12065,316,1817,2133,Dingin
68,2011-03-09,Spring,2011,Mar,Wednesday,Misty,12.129153,0.286608,77.5417,0.22015,191,1700,1891,Dingin
69,2011-03-10,Spring,2011,Mar,Thursday,Light Rain,15.952731,0.385668,0.0,0.261877,46,577,623,Sedang
70,2011-03-11,Spring,2011,Mar,Friday,Misty,12.977402000000001,0.305,64.95649999999999,0.23297,247,1730,1977,Dingin
71,2011-03-12,Spring,2011,Mar,Saturday,Clear,13.495847,0.32575,59.458299999999994,0.220775,724,1408,2132,Panas
72,2011-03-13,Spring,2011,Mar,Sunday,Clear,15.758268000000001,0.380091,52.73910000000001,0.270604,982,1435,2417,Sedang
73,2011-03-14,Spring,2011,Mar,Monday,Clear,13.333896999999999,0.332,49.695699999999995,0.136926,359,1687,2046,Panas
74,2011-03-15,Spring,2011,Mar,Tuesday,Misty,13.013031,0.318178,65.5652,0.184309,289,1767,2056,Panas
75,2011-03-16,Spring,2011,Mar,Wednesday,Misty,14.973897000000001,0.36693,77.65220000000001,0.203117,321,1871,2192,Sedang
76,2011-03-17,Spring,2011,Mar,Thursday,Clear,17.015,0.410333,60.291700000000006,0.209579,424,2320,2744,Sedang
77,2011-03-18,Spring,2011,Mar,Friday,Clear,22.14,0.527009,52.5217,0.231017,884,2355,3239,Sedang
78,2011-03-19,Spring,2011,Mar,Saturday,Clear,19.3725,0.466525,37.9167,0.368167,1424,1693,3117,Sedang
79,2011-03-20,Spring,2011,Mar,Sunday,Clear,13.6325,0.32575,47.375,0.207721,1047,1424,2471,Panas
80,2011-03-21,Summer,2011,Mar,Monday,Misty,17.647835,0.409735,73.73910000000001,0.288783,401,1676,2077,Sedang
81,2011-03-22,Summer,2011,Mar,Tuesday,Clear,18.108347,0.440642,62.4583,0.22575,460,2243,2703,Sedang
82,2011-03-23,Summer,2011,Mar,Wednesday,Misty,14.225237,0.337939,83.9565,0.234261,203,1918,2121,Sedang
83,2011-03-24,Summer,2011,Mar,Thursday,Misty,11.684999999999999,0.270833,80.58330000000001,0.243787,166,1699,1865,Dingin
84,2011-03-25,Summer,2011,Mar,Friday,Clear,10.830846999999999,0.256312,49.5,0.230725,300,1910,2210,Dingin
85,2011-03-26,Summer,2011,Mar,Saturday,Clear,10.899153,0.257571,39.4167,0.209571,981,1515,2496,Dingin
86,2011-03-27,Summer,2011,Mar,Sunday,Misty,10.374763000000002,0.250339,49.3913,0.1843,472,1221,1693,Dingin
87,2011-03-28,Summer,2011,Mar,Monday,Clear,10.838268000000001,0.257574,30.2174,0.212204,222,1806,2028,Dingin
88,2011-03-29,Summer,2011,Mar,Tuesday,Clear,12.4025,0.292908,31.4167,0.226996,317,2108,2425,Dingin
89,2011-03-30,Summer,2011,Mar,Wednesday,Misty,12.299999999999999,0.29735,64.6667,0.172888,168,1368,1536,Dingin
90,2011-03-31,Summer,2011,Mar,Thursday,Light Rain,11.001653,0.257575,91.8333,0.217646,179,1506,1685,Dingin
91,2011-04-01,Summer,2011,Apr,Friday,Misty,12.299999999999999,0.283454,68.625,0.258708,307,1920,2227,Dingin
92,2011-04-02,Summer,2011,Apr,Saturday,Misty,12.915000000000001,0.315637,65.375,0.197146,898,1354,2252,Dingin
93,2011-04-03,Summer,2011,Apr,Sunday,Clear,15.511652999999999,0.378767,48.0,0.182213,1651,1598,3249,Sedang
94,2011-04-04,Summer,2011,Apr,Monday,Clear,23.506653,0.542929,42.625,0.385571,734,2381,3115,Sedang
95,2011-04-05,Summer,2011,Apr,Tuesday,Misty,16.980847,0.39835,64.2083,0.388067,167,1628,1795,Sedang
96,2011-04-06,Summer,2011,Apr,Wednesday,Clear,16.024153,0.387608,47.0833,0.263063,413,2395,2808,Sedang
97,2011-04-07,Summer,2011,Apr,Thursday,Clear,17.9375,0.433696,60.291700000000006,0.162312,571,2570,3141,Sedang
98,2011-04-08,Summer,2011,Apr,Friday,Misty,13.769153,0.324479,83.625,0.226992,172,1299,1471,Panas
99,2011-04-09,Summer,2011,Apr,Saturday,Misty,14.0425,0.341529,87.75,0.133083,879,1576,2455,Sedang
100,2011-04-10,Summer,2011,Apr,Sunday,Misty,17.493347,0.426737,85.75,0.146767,1188,1707,2895,Sedang
101,2011-04-11,Summer,2011,Apr,Monday,Misty,24.421732,0.565217,71.6956,0.324474,855,2493,3348,Sedang
102,2011-04-12,Summer,2011,Apr,Tuesday,Misty,20.6025,0.493054,73.9167,0.274879,257,1777,2034,Sedang
103,2011-04-13,Summer,2011,Apr,Wednesday,Misty,16.912499999999998,0.417283,81.91669999999999,0.250617,209,1953,2162,Sedang
104,2011-04-14,Summer,2011,Apr,Thursday,Clear,19.1675,0.462742,54.041700000000006,0.1107,529,2738,3267,Sedang
105,2011-04-15,Summer,2011,Apr,Friday,Clear,18.313347,0.441913,67.125,0.226375,642,2484,3126,Sedang
106,2011-04-16,Summer,2011,Apr,Saturday,Light Rain,17.664153000000002,0.425492,88.83330000000001,0.340808,121,674,795,Sedang
107,2011-04-17,Summer,2011,Apr,Sunday,Clear,18.723347,0.445696,47.9583,0.303496,1558,2186,3744,Sedang
108,2011-04-18,Summer,2011,Apr,Monday,Clear,21.0125,0.503146,54.25,0.163567,669,2760,3429,Sedang
109,2011-04-19,Summer,2011,Apr,Tuesday,Misty,20.739152999999998,0.489258,66.5833,0.157971,409,2795,3204,Sedang
110,2011-04-20,Summer,2011,Apr,Wednesday,Clear,24.395,0.564392,61.4167,0.241925,613,3331,3944,Sedang
111,2011-04-21,Summer,2011,Apr,Thursday,Clear,18.825847,0.453892,40.708299999999994,0.325258,745,3444,4189,Sedang
112,2011-04-22,Summer,2011,Apr,Friday,Misty,13.803347,0.321954,72.9583,0.219521,177,1506,1683,Panas
113,2011-04-23,Summer,2011,Apr,Saturday,Misty,18.86,0.450121,88.79169999999999,0.230725,1462,2574,4036,Sedang
114,2011-04-24,Summer,2011,Apr,Sunday,Misty,23.848347,0.551763,81.08330000000001,0.192175,1710,2481,4191,Sedang
115,2011-04-25,Summer,2011,Apr,Monday,Clear,24.873347,0.5745,77.6667,0.185333,773,3300,4073,Sedang
116,2011-04-26,Summer,2011,Apr,Tuesday,Clear,25.898346999999998,0.594083,72.9167,0.3265,678,3722,4400,Sedang
117,2011-04-27,Summer,2011,Apr,Wednesday,Misty,25.419999999999998,0.575142,83.54169999999999,0.3122,547,3325,3872,Sedang
118,2011-04-28,Summer,2011,Apr,Thursday,Misty,25.317500000000003,0.578929,70.08330000000001,0.320908,569,3489,4058,Sedang
119,2011-04-29,Summer,2011,Apr,Friday,Clear,20.91,0.497463,45.7083,0.240063,878,3717,4595,Sedang
120,2011-04-30,Summer,2011,Apr,Saturday,Clear,19.3725,0.464021,50.3333,0.235075,1965,3347,5312,Sedang
121,2011-05-01,Summer,2011,May,Sunday,Misty,18.518347,0.448204,76.2083,0.106354,1138,2213,3351,Sedang
122,2011-05-02,Summer,2011,May,Monday,Misty,22.515846999999997,0.532833,73.0,0.183454,847,3554,4401,Sedang
123,2011-05-03,Summer,2011,May,Tuesday,Misty,25.283347,0.582079,69.7083,0.342667,603,3848,4451,Sedang
124,2011-05-04,Summer,2011,May,Wednesday,Misty,16.980847,0.40465,73.70830000000001,0.328996,255,2378,2633,Sedang
125,2011-05-05,Summer,2011,May,Thursday,Clear,18.825847,0.441917,44.4167,0.295392,614,3819,4433,Sedang
126,2011-05-06,Summer,2011,May,Friday,Clear,19.645847,0.474117,59.0,0.228246,894,3714,4608,Sedang
127,2011-05-07,Summer,2011,May,Saturday,Clear,21.32,0.512621,54.125,0.16045,1612,3102,4714,Sedang
128,2011-05-08,Summer,2011,May,Sunday,Clear,21.661653,0.518933,63.1667,0.0746375,1401,2932,4333,Sedang
129,2011-05-09,Summer,2011,May,Monday,Clear,21.8325,0.525246,58.875,0.176,664,3698,4362,Sedang
130,2011-05-10,Summer,2011,May,Tuesday,Clear,21.8325,0.522721,48.9167,0.115671,694,4109,4803,Sedang
131,2011-05-11,Summer,2011,May,Wednesday,Clear,22.2425,0.5284,63.29169999999999,0.120642,550,3632,4182,Sedang
132,2011-05-12,Summer,2011,May,Thursday,Clear,21.935000000000002,0.523363,74.75,0.189667,695,4169,4864,Sedang
133,2011-05-13,Summer,2011,May,Friday,Misty,21.0125,0.4943,86.33330000000001,0.179725,692,3413,4105,Sedang
134,2011-05-14,Summer,2011,May,Saturday,Misty,21.354153,0.500629,92.25,0.13495,902,2507,3409,Sedang
135,2011-05-15,Summer,2011,May,Sunday,Misty,23.0625,0.536,86.70830000000001,0.152979,1582,2971,4553,Sedang
136,2011-05-16,Summer,2011,May,Monday,Clear,23.677500000000002,0.550512,78.79169999999999,0.126871,773,3185,3958,Sedang
137,2011-05-17,Summer,2011,May,Tuesday,Misty,23.028347,0.538529,83.7917,0.277354,678,3445,4123,Sedang
138,2011-05-18,Summer,2011,May,Wednesday,Misty,22.55,0.527158,87.0,0.201492,536,3319,3855,Sedang
139,2011-05-19,Summer,2011,May,Thursday,Misty,21.764153,0.510742,82.9583,0.108213,735,3840,4575,Sedang
140,2011-05-20,Summer,2011,May,Friday,Clear,22.003347,0.529042,71.9583,0.125013,909,4008,4917,Sedang
141,2011-05-21,Summer,2011,May,Saturday,Clear,24.7025,0.571975,62.6667,0.12065,2258,3547,5805,Sedang
142,2011-05-22,Summer,2011,May,Sunday,Clear,24.770847,0.5745,74.9583,0.148008,1576,3084,4660,Sedang
143,2011-05-23,Summer,2011,May,Monday,Misty,25.898346999999998,0.590296,81.0,0.233842,836,3438,4274,Sedang
144,2011-05-24,Summer,2011,May,Tuesday,Misty,27.060000000000002,0.604813,74.0833,0.207092,659,3833,4492,Panas
145,2011-05-25,Summer,2011,May,Wednesday,Clear,27.094153,0.615542,69.625,0.154233,740,4238,4978,Panas
146,2011-05-26,Summer,2011,May,Thursday,Clear,29.041653,0.654688,67.75,0.199642,758,3919,4677,Panas
147,2011-05-27,Summer,2011,May,Friday,Clear,27.948347000000002,0.637008,65.375,0.240679,871,3808,4679,Panas
148,2011-05-28,Summer,2011,May,Saturday,Clear,26.889153,0.612379,72.9583,0.230092,2001,2757,4758,Sedang
149,2011-05-29,Summer,2011,May,Sunday,Clear,27.3675,0.61555,81.875,0.213938,2355,2433,4788,Panas
150,2011-05-30,Summer,2011,May,Monday,Clear,30.066653000000002,0.671092,68.5,0.131225,1549,2549,4098,Panas
151,2011-05-31,Summer,2011,May,Tuesday,Clear,31.775000000000002,0.725383,63.6667,0.111329,673,3309,3982,Panas
152,2011-06-01,Summer,2011,Jun,Wednesday,Misty,31.330847000000002,0.720967,67.7083,0.207092,513,3461,3974,Panas
153,2011-06-02,Summer,2011,Jun,Thursday,Clear,29.314999999999998,0.643942,30.5,0.292287,736,4232,4968,Panas
154,2011-06-03,Summer,2011,Jun,Friday,Clear,25.419999999999998,0.587133,35.4167,0.253121,898,4414,5312,Sedang
155,2011-06-04,Summer,2011,Jun,Saturday,Clear,26.035,0.594696,45.625,0.123142,1869,3473,5342,Sedang
156,2011-06-05,Summer,2011,Jun,Sunday,Misty,26.581653000000003,0.616804,65.25,0.138692,1685,3221,4906,Sedang
157,2011-06-06,Summer,2011,Jun,Monday,Clear,27.811653,0.621858,60.0,0.121896,673,3875,4548,Panas
158,2011-06-07,Summer,2011,Jun,Tuesday,Clear,29.0075,0.65595,59.791700000000006,0.187808,763,4070,4833,Panas
159,2011-06-08,Summer,2011,Jun,Wednesday,Clear,31.809153,0.727279,62.20830000000001,0.136817,676,3725,4401,Panas
160,2011-06-09,Summer,2011,Jun,Thursday,Misty,33.141653,0.757579,56.833299999999994,0.149883,563,3352,3915,Panas
161,2011-06-10,Summer,2011,Jun,Friday,Clear,30.955000000000002,0.703292,60.5,0.140554,815,3771,4586,Panas
162,2011-06-11,Summer,2011,Jun,Saturday,Clear,29.724999999999998,0.678038,65.45830000000001,0.15485,1729,3237,4966,Panas
163,2011-06-12,Summer,2011,Jun,Sunday,Clear,28.392500000000002,0.643325,74.7917,0.163567,1467,2993,4460,Panas
164,2011-06-13,Summer,2011,Jun,Monday,Clear,26.035,0.601654,49.4583,0.30535,863,4157,5020,Sedang
165,2011-06-14,Summer,2011,Jun,Tuesday,Clear,24.770847,0.591546,50.708299999999994,0.269283,727,4164,4891,Sedang
166,2011-06-15,Summer,2011,Jun,Wednesday,Clear,25.693347,0.587754,47.1667,0.167912,769,4411,5180,Sedang
167,2011-06-16,Summer,2011,Jun,Thursday,Misty,25.761653000000003,0.595346,68.8333,0.206471,545,3222,3767,Sedang
168,2011-06-17,Summer,2011,Jun,Friday,Clear,26.615847000000002,0.600383,73.5833,0.143029,863,3981,4844,Sedang
169,2011-06-18,Summer,2011,Jun,Saturday,Clear,28.563347,0.643954,67.0417,0.119408,1807,3312,5119,Panas
170,2011-06-19,Summer,2011,Jun,Sunday,Misty,28.665847,0.645846,66.6667,0.102,1639,3105,4744,Panas
171,2011-06-20,Summer,2011,Jun,Monday,Misty,26.035,0.595346,74.625,0.155475,699,3311,4010,Sedang
172,2011-06-21,Fall,2011,Jun,Tuesday,Misty,27.914153000000002,0.637646,77.0417,0.171025,774,4061,4835,Panas
173,2011-06-22,Fall,2011,Jun,Wednesday,Clear,30.066653000000002,0.693829,70.75,0.172262,661,3846,4507,Panas
174,2011-06-23,Fall,2011,Jun,Thursday,Misty,29.861653,0.693833,70.3333,0.238804,746,4044,4790,Panas
175,2011-06-24,Fall,2011,Jun,Friday,Clear,29.690847,0.656583,57.3333,0.222025,969,4022,4991,Panas
176,2011-06-25,Fall,2011,Jun,Saturday,Clear,28.494999999999997,0.643313,48.3333,0.209571,1782,3420,5202,Panas
177,2011-06-26,Fall,2011,Jun,Sunday,Clear,27.880000000000003,0.637629,51.3333,0.0945333,1920,3385,5305,Panas
178,2011-06-27,Fall,2011,Jun,Monday,Misty,27.982499999999998,0.637004,65.8333,0.107588,854,3854,4708,Panas
179,2011-06-28,Fall,2011,Jun,Tuesday,Clear,30.510847000000002,0.692558,63.416700000000006,0.144283,732,3916,4648,Panas
180,2011-06-29,Fall,2011,Jun,Wednesday,Clear,29.861653,0.654688,49.7917,0.261821,848,4377,5225,Panas
181,2011-06-30,Fall,2011,Jun,Thursday,Clear,28.563347,0.637008,43.416700000000006,0.185312,1027,4488,5515,Panas
182,2011-07-01,Fall,2011,Jul,Friday,Clear,29.622500000000002,0.652162,39.625,0.102608,1246,4116,5362,Panas
183,2011-07-02,Fall,2011,Jul,Saturday,Clear,30.271653,0.667308,44.4583,0.115062,2204,2915,5119,Panas
184,2011-07-03,Fall,2011,Jul,Sunday,Misty,29.383347,0.668575,68.25,0.228858,2282,2367,4649,Panas
185,2011-07-04,Fall,2011,Jul,Monday,Misty,29.793346999999997,0.665417,63.7917,0.0814792,3065,2978,6043,Panas
186,2011-07-05,Fall,2011,Jul,Tuesday,Clear,30.613346999999997,0.696338,59.0417,0.126258,1031,3634,4665,Panas
187,2011-07-06,Fall,2011,Jul,Wednesday,Clear,29.52,0.685633,74.33330000000001,0.149883,784,3845,4629,Panas
188,2011-07-07,Fall,2011,Jul,Thursday,Clear,30.75,0.686871,65.125,0.1592,754,3838,4592,Panas
189,2011-07-08,Fall,2011,Jul,Friday,Misty,29.075847,0.670483,75.79169999999999,0.225129,692,3348,4040,Panas
190,2011-07-09,Fall,2011,Jul,Saturday,Clear,30.066653000000002,0.664158,60.9167,0.167912,1988,3348,5336,Panas
191,2011-07-10,Fall,2011,Jul,Sunday,Clear,30.6475,0.690025,57.8333,0.183471,1743,3138,4881,Panas
192,2011-07-11,Fall,2011,Jul,Monday,Clear,31.2625,0.729804,63.5833,0.282337,723,3363,4086,Panas
193,2011-07-12,Fall,2011,Jul,Tuesday,Clear,32.560846999999995,0.739275,55.9167,0.200254,662,3596,4258,Panas
194,2011-07-13,Fall,2011,Jul,Wednesday,Clear,30.613346999999997,0.689404,63.1667,0.146133,748,3594,4342,Panas
195,2011-07-14,Fall,2011,Jul,Thursday,Clear,27.914153000000002,0.635104,47.625,0.240667,888,4196,5084,Panas
196,2011-07-15,Fall,2011,Jul,Friday,Clear,27.196652999999998,0.624371,59.12500000000001,0.182833,1318,4220,5538,Panas
197,2011-07-16,Fall,2011,Jul,Saturday,Clear,28.153347,0.638263,58.5,0.208342,2418,3505,5923,Panas
198,2011-07-17,Fall,2011,Jul,Sunday,Clear,29.485847,0.669833,60.4167,0.245033,2006,3296,5302,Panas
199,2011-07-18,Fall,2011,Jul,Monday,Clear,30.613346999999997,0.703925,65.125,0.215804,841,3617,4458,Panas
200,2011-07-19,Fall,2011,Jul,Tuesday,Clear,31.843347,0.747479,65.0417,0.1306,752,3789,4541,Panas
201,2011-07-20,Fall,2011,Jul,Wednesday,Clear,31.501653,0.74685,70.70830000000001,0.113817,644,3688,4332,Panas
202,2011-07-21,Fall,2011,Jul,Thursday,Misty,33.415,0.826371,69.125,0.222021,632,3152,3784,Panas
203,2011-07-22,Fall,2011,Jul,Friday,Clear,34.781653,0.840896,58.0417,0.1331,562,2825,3387,Panas
204,2011-07-23,Fall,2011,Jul,Saturday,Clear,34.815847,0.804287,50.0,0.131221,987,2298,3285,Panas
205,2011-07-24,Fall,2011,Jul,Sunday,Clear,34.03,0.794829,55.0833,0.169171,1050,2556,3606,Panas
206,2011-07-25,Fall,2011,Jul,Monday,Clear,30.476653000000002,0.720958,75.7083,0.0908083,568,3272,3840,Panas
207,2011-07-26,Fall,2011,Jul,Tuesday,Clear,31.638347,0.696979,54.0833,0.200258,750,3840,4590,Panas
208,2011-07-27,Fall,2011,Jul,Wednesday,Clear,31.775000000000002,0.690667,40.291700000000006,0.183463,755,3901,4656,Panas
209,2011-07-28,Fall,2011,Jul,Thursday,Clear,31.945847,0.7399,58.3333,0.178479,606,3784,4390,Panas
210,2011-07-29,Fall,2011,Jul,Friday,Clear,34.371653,0.785967,54.25,0.174138,670,3176,3846,Panas
211,2011-07-30,Fall,2011,Jul,Saturday,Clear,32.970847,0.728537,46.5833,0.168537,1559,2916,4475,Panas
212,2011-07-31,Fall,2011,Jul,Sunday,Clear,33.039153,0.729796,48.0833,0.164813,1524,2778,4302,Panas
213,2011-08-01,Fall,2011,Aug,Monday,Clear,31.638347,0.703292,55.0833,0.156717,729,3537,4266,Panas
214,2011-08-02,Fall,2011,Aug,Tuesday,Clear,32.116653,0.707071,49.125,0.20585,801,4044,4845,Panas
215,2011-08-03,Fall,2011,Aug,Wednesday,Misty,29.998347,0.679937,65.75,0.135583,467,3107,3574,Panas
216,2011-08-04,Fall,2011,Aug,Thursday,Misty,29.11,0.664788,75.75,0.19715,799,3777,4576,Panas
217,2011-08-05,Fall,2011,Aug,Friday,Clear,29.144153000000003,0.656567,63.083299999999994,0.184696,1023,3843,4866,Panas
218,2011-08-06,Fall,2011,Aug,Saturday,Misty,29.383347,0.676154,75.5,0.22825,1521,2773,4294,Panas
219,2011-08-07,Fall,2011,Aug,Sunday,Clear,30.442500000000003,0.715292,75.29169999999999,0.201487,1298,2487,3785,Panas
220,2011-08-08,Fall,2011,Aug,Monday,Clear,31.365000000000002,0.703283,59.2083,0.192175,846,3480,4326,Panas
